"capacity_threshold","original","counterfactual","rawlsian","majority","egalitarian","utilitarian"
55,0.120080321285141,0.183757251227131,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
56,0.120224821787607,0.187077316761104,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
57,0.120188714499253,0.19076980568012,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
58,0.120206313577535,0.194708438798414,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
59,0.121555359419437,0.199470432480141,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
60,0.122612105368993,0.204303237482405,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
61,0.122629906733627,0.207902019063237,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
62,0.123162829900437,0.212874677342886,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
63,0.123817759282279,0.217802518510512,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
64,0.124722345624167,0.223011994669036,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
65,0.125834617360041,0.228499686126805,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
66,0.125934648219017,0.235501913453047,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
67,0.126055998069032,0.240767559739319,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
68,0.127383771656488,0.248099214757572,0.173156553793666,0.172717493542894,0.173908822232149,0.172287096684362
69,0.128029234517246,0.254776253365816,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
70,0.128863591237011,0.262558739823946,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
71,0.130270567229776,0.271940667490729,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
72,0.131269481439501,0.273236044205157,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
73,0.132298867480512,0.275481688483601,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
74,0.131746997111145,0.277254067203892,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
75,0.133169999209674,0.278669090334308,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
76,0.132763017191741,0.28148391872995,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
77,0.133093525179856,0.285799931483385,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
78,0.134704830053667,0.292486583184258,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
79,0.136541689983212,0.300130572654356,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
80,0.136336982017201,0.306684910086005,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
81,0.136279737489746,0.316242821985234,0.217097522414807,0.199571892779478,0.170930637839453,0.202216306688846
82,0.13827027027027,0.327351351351351,0.240996234927445,0.22380233853757,0.130413625623075,0.222731403646754
83,0.138233618233618,0.338917378917379,0.240996234927445,0.22380233853757,0.130413625623075,0.222731403646754
84,0.140074996975928,0.35188097254143,0.240996234927445,0.22380233853757,0.130413625623075,0.222731403646754
85,0.142396907216495,0.368170103092784,0.240996234927445,0.22380233853757,0.130413625623075,0.222731403646754
86,0.145048623476236,0.380221887412683,0.240996234927445,0.22380233853757,0.130429267187188,0.222731403646754
87,0.14684697927385,0.387476113479347,0.240996234927445,0.22380233853757,0.130700997130952,0.222731403646754
88,0.149138067373082,0.396330855606516,0.240996234927445,0.22380233853757,0.132824985431379,0.222731403646754
89,0.15123034859877,0.406527682843472,0.264051594263689,0.247069718647194,0.11810392606779,0.24888806655002
90,0.154320987654321,0.424803591470258,0.264051594263689,0.247069718647194,0.119115698156056,0.24888806655002
91,0.156230753438719,0.439540135495791,0.264051594263689,0.247069718647194,0.121636839323725,0.24888806655002
92,0.159397122630738,0.46814341173784,0.264051594263689,0.247069718647194,0.128528854133308,0.24888806655002
93,0.161572052401747,0.481119958900591,0.271635775072288,0.257066883699807,0.137662176318922,0.256259594903775
94,0.167497799941332,0.497799941331769,0.324348430305464,0.283588772166956,0.124330100604828,0.294170692966535
95,0.176008202323992,0.532467532467532,0.324348430305464,0.283588772166956,0.131817409529627,0.294170692966535
96,0.179055441478439,0.553593429158111,0.36911725523946,0.317610136238983,0.119759039154898,0.339186559855486
97,0.184102564102564,0.591794871794872,0.36911725523946,0.317610136238983,0.143026135012329,0.339186559855486
98,0.200273410799727,0.639097744360902,0.341143416855629,0.348879056248367,0.147530165123478,0.342474683715034
